Player,Comb,Asst,Solo,Sck
Trinity Benson,1,0,1,0
Travis Benjamin,1,0,1,0
Eno Benjamin,1,1,0,0
Andrew Beck,1,0,1,0
Sam Beal,1,0,1,0
Essang Bassey,1,0,1,0
Tyler Bass,1,0,1,0
Eric Banks,1,1,0,0
Kalen Ballage,1,0,1,0
Kawaan Baker,1,0,1,0
Alex Bachman,1,0,1,0
Antony Auclair,1,0,1,0
Grayland Arnold,1,1,0,0
Terron Armstead,1,0,1,0
Zayne Anderson,1,0,1,0
Robby Anderson,1,0,1,0
Danny Amendola,1,0,1,0
Jordan Akins,1,0,1,0
Landen Akers,1,1,0,0
Salvon Ahmed,1,0,1,0
Nelson Agholor,1,0,1,0
Davante Adams,1,0,1,0
James Wiggins,0,0,0,0
Jeremy McNichols,0,0,0,0
Demone Harris,0,0,0,0
