Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck
49ers,521,322,61.8,7.7,3848,30,10,96.9,187,35.9,59,12,78T,33
Bears,530,342,64.5,7.2,3598,22,8,93.5,188,35.5,50,8,60,37
Bengals,593,374,63.1,6.7,3800,22,17,83.1,196,33.1,46,7,74T,33
Bills,511,306,59.9,7.5,3582,19,12,85.9,183,35.8,46,11,66T,39
Broncos,552,306,55.4,5.8,2972,13,14,69.7,169,30.6,32,4,80T,42
Browns,543,347,63.9,7.7,3996,36,10,101.8,220,40.5,52,12,63,26
Buccaneers,548,347,63.3,7.7,4012,24,17,88.8,203,37.0,58,16,68,38
Cardinals,547,344,62.9,6.8,3365,21,14,85.1,175,32.0,47,8,71,48
Chargers,580,364,62.8,7.3,3987,21,18,83.8,204,35.2,53,8,64T,35
Chiefs,598,350,58.5,6.9,3958,23,18,79.8,209,34.9,47,7,76T,28
Colts,582,378,64.9,7.6,4200,27,8,97.5,225,38.7,55,8,49,33
Cowboys,633,425,67.1,6.9,4167,25,9,94.1,226,35.7,45,7,67T,36
Dolphins,591,368,62.3,6.9,3875,30,16,88.5,199,33.7,48,9,77T,33
Eagles,553,333,60.2,7.3,3832,25,16,85.7,177,32.0,57,13,80T,34
Falcons,655,422,64.4,6.9,4267,31,12,92.5,232,35.4,53,5,58,34
Giants,630,369,58.6,6.8,4018,15,17,75.8,191,30.3,59,12,71,35
Jaguars,551,345,62.6,6.6,3444,20,7,88.5,174,31.6,40,12,64T,33
Jets,545,347,63.7,7.5,3898,30,8,98.5,203,37.2,52,13,84T,27
Lions,549,399,72.7,7.5,3975,33,10,106.5,206,37.5,50,6,64,26
Packers,571,370,64.8,8.1,4308,32,17,95.9,227,39.8,58,11,73T,40
Panthers,612,409,66.8,7.5,4291,27,17,92.0,223,36.4,54,11,87T,47
Patriots,596,368,61.7,6.8,3806,21,13,84.4,190,31.9,53,5,66,34
Raiders,541,328,60.6,7.9,4120,27,16,89.8,188,34.8,61,16,98T,25
Rams,582,378,64.9,6.7,3732,32,10,95.5,194,33.3,41,6,64T,31
Ravens,578,369,63.8,6.8,3724,28,18,86.9,190,32.9,50,8,79T,31
Redskins,589,387,65.7,7.4,4130,22,13,91.1,225,38.2,53,8,54,38
Saints,582,378,64.9,7.9,4380,27,9,98.1,230,39.5,48,9,66T,30
Seahawks,537,331,61.6,7.2,3612,16,11,85.0,180,33.5,51,9,80T,42
Steelers,590,381,64.6,7.0,3882,20,13,87.3,184,31.2,40,10,95T,38
Texans,522,319,61.1,6.6,3226,20,11,84.3,157,30.1,38,6,86T,31
Titans,635,388,61.1,7.2,4307,25,12,88.3,227,35.7,56,12,58,40
Vikings,548,332,60.6,6.6,3327,22,14,83.0,186,33.9,41,5,67,41
