Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
49ers,287,3166,11.0,21,35,6,75T,152,53.0,7
Bears,347,4139,11.9,19,49,4,64,212,61.1,5
Bengals,364,4206,11.6,18,53,13,86T,204,56.0,4
Bills,286,3250,11.4,17,35,8,84T,155,54.2,0
Broncos,339,3914,11.5,20,40,8,76T,181,53.4,8
Browns,338,3693,10.9,15,44,9,58,181,53.6,2
Buccaneers,355,4165,11.7,29,43,4,45T,220,62.0,1
Cardinals,383,4425,11.6,28,51,6,80T,229,59.8,5
Chargers,349,4386,12.6,33,57,16,59,214,61.3,6
Chiefs,365,3914,10.7,19,46,9,80T,197,54.0,5
Colts,370,4491,12.1,32,63,8,64T,220,59.5,4
Cowboys,325,3799,11.7,25,39,8,83T,191,58.8,4
Dolphins,316,3716,11.8,27,46,15,74T,167,52.8,2
Eagles,380,3798,10.0,16,39,6,73T,192,50.5,3
Falcons,374,4960,13.3,38,69,17,76T,239,63.9,1
Giants,377,4027,10.7,26,46,11,75T,190,50.4,7
Jaguars,369,3925,10.6,24,44,4,51T,207,56.1,2
Jets,311,3645,11.7,16,48,10,69T,166,53.4,3
Lions,388,4327,11.2,24,52,10,73T,217,55.9,1
Packers,403,4445,11.0,40,57,10,66T,222,55.1,6
Panthers,306,3962,12.9,21,49,9,88T,194,63.4,2
Patriots,368,4456,12.1,32,56,9,79T,203,55.2,3
Raiders,379,4137,10.9,29,51,8,75T,198,52.2,4
Rams,312,3313,10.6,14,43,9,66,151,48.4,4
Ravens,439,4343,9.9,20,40,11,95T,205,46.7,2
Redskins,407,4948,12.2,25,70,13,80T,226,55.5,4
Saints,472,5258,11.1,38,71,11,98T,265,56.1,7
Seahawks,368,4422,12.0,23,54,12,59,203,55.2,6
Steelers,381,4377,11.5,33,64,10,72T,210,55.1,1
Texans,347,3418,9.9,15,34,4,53,173,49.9,2
Titans,307,3720,12.1,29,53,8,60,175,57.0,2
Vikings,414,4119,9.9,20,52,8,71T,209,50.5,1
