Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers,15,15,31,0
Bears,13,13,31,1
Bengals,6,25,34,0
Bills,12,16,31,0
Broncos,8,19,31,2
Browns,11,15,27,1
Buccaneers,8,26,38,2
Cardinals,6,21,29,1
Chargers,10,28,43,0
Chiefs,12,26,42,0
Colts,11,13,25,0
Cowboys,18,22,42,0
Dolphins,4,24,31,1
Eagles,9,38,53,6
Falcons,12,21,36,0
Giants,6,20,28,1
Jaguars,18,21,47,3
Jets,13,19,32,1
Lions,10,29,46,2
Packers,13,25,40,1
Panthers,15,22,40,1
Patriots,16,32,49,2
Raiders,13,23,36,2
Rams,17,28,51,0
Ravens,14,20,42,1
Redskins,10,27,39,0
Saints,23,23,51,1
Seahawks,4,34,43,2
Steelers,12,29,43,2
Texans,8,28,40,2
Titans,18,14,33,0
Vikings,15,25,41,2
