Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk
49ers,18.4,31,570,0,13,0,34,0,0,0,0
Bears,21.1,46,969,0,27,1,46,0,1,1,0
Bengals,19.7,34,670,0,16,1,41,0,1,1,0
Bills,20.0,32,640,0,17,0,29,1,0,0,0
Broncos,22.6,34,768,0,21,2,61,0,1,2,0
Browns,22.6,35,790,0,18,2,71,0,0,0,2
Buccaneers,21.6,20,432,0,9,2,50,0,0,1,2
Cardinals,20.4,29,592,0,16,1,55,0,0,0,0
Chargers,19.0,25,474,0,12,1,44,0,0,0,1
Chiefs,22.4,47,1051,0,28,2,42,0,0,1,0
Colts,21.1,28,590,0,15,1,60,0,1,1,1
Cowboys,24.8,25,620,0,17,1,61,1,0,1,0
Dolphins,20.9,40,834,0,27,0,37,0,1,2,0
Eagles,19.7,18,354,0,9,0,35,0,0,3,1
Falcons,22.3,39,871,0,24,2,61,0,2,0,0
Giants,19.6,31,609,0,16,0,30,0,0,1,0
Jaguars,22.0,25,551,0,14,1,68,0,2,0,2
Jets,20.1,34,683,0,18,1,40,0,0,0,0
Lions,18.2,32,583,0,16,0,35,0,0,2,1
Packers,21.7,35,761,0,20,0,34,0,0,0,1
Panthers,22.4,34,760,1,17,1,103T,0,0,1,0
Patriots,22.2,28,622,1,13,2,103T,0,0,2,0
Raiders,21.7,34,738,0,16,4,49,0,3,1,1
Rams,25.0,40,1001,1,29,3,103T,0,1,1,1
Ravens,27.5,34,936,1,25,3,96T,0,0,1,0
Redskins,19.8,34,673,0,16,0,35,0,1,0,1
Saints,22.9,36,825,1,18,2,106T,0,0,0,0
Seahawks,23.3,43,1004,1,25,3,99T,0,0,0,1
Steelers,19.1,33,630,1,15,1,96T,0,0,1,0
Texans,20.7,27,558,0,15,1,42,0,1,0,0
Titans,22.1,28,618,0,17,3,57,1,0,0,0
Vikings,24.8,25,619,0,20,0,39,0,1,0,0
